"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","APPLES","APPLES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","CHERRIES","CHERRIES, SWEET - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","CHERRIES","CHERRIES, TART - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","ELDERBERRIES","ELDERBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","GRAPES","GRAPES - ACRES BEARING","TOTAL","NOT SPECIFIED","11","29.5"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","PAWPAWS","PAWPAWS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","PEACHES","PEACHES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","PEACHES","PEACHES, FREESTONE - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","PEARS","PEARS - ACRES BEARING","TOTAL","NOT SPECIFIED","1","42.5"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","PEARS","PEARS, (EXCL BARTLETT) - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","PEARS","PEARS, BARTLETT - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","PLUMS","PLUMS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","RASPBERRIES","RASPBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","1","49.7"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","TREE NUT TOTALS","TREE NUT TOTALS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","APPLES","APPLES - ACRES BEARING","TOTAL","NOT SPECIFIED","267","32.6"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","9","(H)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","BLUEBERRIES","BLUEBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","2","38.5"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","BLUEBERRIES","BLUEBERRIES, TAME - ACRES BEARING","TOTAL","NOT SPECIFIED","2","38.6"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","CHERRIES","CHERRIES, TART - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
